Timestamp,Level,Source,Message,Exception
2025-10-23T11:29:59.3880357,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.3014350,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Unstable (0x13),
2025-10-23T11:29:59.2917990,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.1902941,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:59.1801102,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:59.0613343,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:59.0516940,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.9495456,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:58.9402456,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.8049956,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:58.7957467,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.6610043,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:58.6518236,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.5497637,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:58.5404108,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.4054709,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:58.3959246,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.2613477,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:58.2519636,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.1497427,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:58.1405865,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:58.0056189,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.9960568,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:57.8640556,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.8520013,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:57.7506882,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.7406665,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:57.6084047,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.5962403,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:57.4621169,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.4525628,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:57.3505281,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.3408881,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:57.2058495,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.1964295,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:57.0945052,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:57.0850088,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:56.9989241,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:56.9890438,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:56.9089819,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Completed (0x14),
2025-10-23T11:29:56.9035608,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Unstable (0x13),
2025-10-23T11:29:56.8979937,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=14.46, Текущее состояние=AwaitUnload",
2025-10-23T11:29:56.8925821,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:29:56.7965690,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:56.6851584,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:56.5892165,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.44, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:56.4930204,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.42, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:56.3968133,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.4, Стабилен=False, Подключено=True, Авария=False",
